word,freq
students,30
eiu,24
better,12
campus,10
like,10
many,9
state,9
university,9
area,8
funding,8
school,8
staff,8
think,8
town,8
know,7
people,7
student,7
budget,6
faculty,6
need,6
alumni,5
around,5
back,5
college,5
community,5
diversity,5
feel,5
get,5
just,5
things,5
actually,4
aid,4
buildings,4
charleston,4
education,4
enrollment,4
future,4
getting,4
great,4
grounds,4
job,4
nice,4
nothing,4
offer,4
parents,4
program,4
quality,4
started,4
use,4
well,4
work,4
activities,3
build,3
can,3
city,3
class,3
classes,3
done,3
employees,3
environment,3
felt,3
financial,3
improvements,3
innovative,3
isu,3
lack,3
less,3
little,3
look,3
looks,3
majors,3
money,3
name,3
parking,3
places,3
positive,3
professors,3
programs,3
projects,3
prospective,3
schools,3
see,3
small,3
stable,3
support,3
surrounding,3
trying,3
tuition,3
uses,3
went,3
10000,2
ability,2
able,2
act,2
admissions,2
also,2
amazing,2
athletic,2
athletics,2
awesome,2
bars,2
becomes,2
beyond,2
building,2
cared,2
champions,2
choose,2
come,2
connections,2
current,2
daughter,2
department,2
diverse,2
doesnt,2
donate,2
dont,2
eius,2
emphasis,2
especially,2
etc,2
even,2
every,2
everyone,2
excellence,2
exciting,2
federal,2
fewer,2
finished,2
focus,2
free,2
friendly,2
good,2
graduation,2
guaranteed,2
help,2
high,2
home,2
increased,2
information,2
instead,2
internships,2
involvement,2
laid,2
let,2
level,2
library,2
local,2
lot,2
love,2
mba,2
meal,2
near,2
needs,2
now,2
numbers,2
nursing,2
offers,2
one,2
opportunities,2
option,2
options,2
orientation,2
place,2
pride,2
promoting,2
public,2
recommend,2
reflect,2
relationships,2
service,2
services,2
soon,2
still,2
take,2
teaching,2
theres,2
universities,2
ways,2
whats,2
will,2
without,2
60miles,1
7000,1
abroad,1
accessible,1
accomplish,1
accordingly,1
accounts,1
acessibility,1
across,1
acted,1
activitiesonline,1
activity,1
actual,1
addition,1
adjunct,1
administrationrealize,1
age,1
alive,1
already,1
alums,1
amazed,1
ambassador,1
amenities,1
another,1
applications,1
appreciate,1
appreciation,1
approximately,1
areas,1
art,1
artsy,1
assaults,1
athlete,1
atmosphere,1
attempt,1
attended,1
attract,1
attracted,1
attractive,1
available,1
away,1
barriers,1
baseball,1
basketball,1
bathrooms,1
become,1
behavior,1
best,1
blake,1
blocked,1
body,1
bound,1
brand,1
broader,1
bubble,1
businesses,1
cant,1
car,1
care,1
celebrated,1
centers,1
certifications,1
change,1
changed,1
changes,1
cheapest,1
chicago,1
children,1
chose,1
civil,1
closer,1
closing,1
coffee,1
coleman,1
comments,1
common,1
communication,1
compared,1
completed,1
concerned,1
conference,1
constant,1
construction,1
contact,1
continue,1
core,1
crap,1
create,1
crisis,1
crummy,1
cultural,1
culture,1
currently,1
customer,1
dacs,1
day,1
daytoday,1
decline,1
degree,1
despite,1
deter,1
didnt,1
different,1
dining,1
direction,1
district,1
donor,1
donors,1
donorsalumsvisitors,1
dorms,1
downtown,1
dropped,1
easier,1
eastern,1
easy,1
effective,1
effort,1
efforts,1
employed,1
employee,1
encounter,1
ended,1
energy,1
engage,1
engaged,1
engagement,1
enhance,1
enrollments,1
ensure,1
enter,1
entertainment,1
everything,1
evidence,1
example,1
experience,1
extraneous,1
face,1
facelift,1
family,1
farther,1
feeling,1
fields,1
find,1
fine,1
fire,1
first,1
food,1
football,1
forget,1
forms,1
foundation,1
freshman,1
friday,1
full,1
fully,1
funded,1
funds,1
generation,1
genuine,1
girls,1
goalstudent,1
goes,1
going,1
gone,1
gpas,1
greenspace,1
group,1
growing,1
growth,1
guns,1
half,1
hall,1
handle,1
hands,1
happen,1
happening,1
happy,1
hate,1
health,1
heard,1
heightened,1
helicopter,1
helping,1
highschool,1
homogeneous,1
honest,1
hours,1
idea,1
impacting,1
important,1
impressed,1
improved,1
initiatives,1
insignificant,1
instructor,1
insurance,1
interested,1
issues,1
jobs,1
keep,1
keeping,1
kept,1
kids,1
kind,1
knew,1
knowing,1
known,1
knowrealize,1
lacking,1
landscaping,1
larger,1
later,1
laundry,1
leadership,1
learn,1
learned,1
leave,1
left,1
leverage,1
lincoln,1
live,1
lives,1
locals,1
location,1
longer,1
loving,1
lower,1
luck,1
main,1
make,1
making,1
manner,1
marketing,1
math,1
matoon,1
max,1
maybe,1
member,1
metropolitan,1
middle,1
might,1
mind,1
minutes,1
morale,1
much,1
nature,1
necessary,1
new,1
niche,1
nights,1
normal,1
observations,1
offenders,1
offered,1
offices,1
offputting,1
old,1
olderneglected,1
online,1
onramps,1
open,1
opinion,1
opportunity,1
ordinance,1
outreach,1
outside,1
overall,1
overarching,1
overhall,1
paid,1
parent,1
parkwood,1
particularly,1
pass,1
pastcurrent,1
pay,1
peer,1
perks,1
person,1
personal,1
perspective,1
philips,1
placement,1
placements,1
plan,1
planned,1
plans,1
poo,1
potential,1
practical,1
practices,1
prepared,1
price,1
proactively,1
programming,1
programsmajors,1
promote,1
proud,1
prowl,1
publications,1
put,1
qualify,1
raising,1
ran,1
range,1
real,1
really,1
rec,1
received,1
recieved,1
recognition,1
recruit,1
reduction,1
reggie,1
regional,1
registrar,1
rehired,1
related,1
release,1
relieved,1
rentals,1
repair,1
required,1
residence,1
resolved,1
resources,1
rest,1
restaurants,1
restrooms,1
retain,1
returning,1
revitalizing,1
reward,1
right,1
rooms,1
rsos,1
rude,1
safe,1
said,1
satilite,1
scores,1
section,1
secure,1
security,1
seeing,1
selective,1
settled,1
shelton,1
shop,1
shops,1
shortages,1
show,1
showcase,1
shuttle,1
simple,1
since,1
sit,1
situation,1
siuc,1
siue,1
sized,1
smallsafe,1
smart,1
solely,1
someone,1
sometimes,1
sort,1
speaking,1
specialized,1
specific,1
spending,1
spent,1
spice,1
spirit,1
src,1
stability,1
standards,1
starting,1
stores,1
stories,1
story,1
strain,1
stress,1
stronger,1
stuck,1
study,1
subjects,1
succeed,1
success,1
successful,1
sure,1
swing,1
takes,1
talented,1
teachingfocused,1
teams,1
technical,1
tell,1
tenet,1
terms,1
terrible,1
thanks,1
thats,1
thrive,1
thus,1
time,1
times,1
todays,1
took,1
total,1
toward,1
training,1
transgender,1
treat,1
treated,1
truman,1
turnover,1
type,1
understand,1
unifying,1
universityincluding,1
unsure,1
update,1
updated,1
updating,1
upgrades,1
upkeep,1
used,1
valuewith,1
venue,1
vibe,1
vicinity,1
vital,1
vocations,1
walmart,1
way,1
welcoming,1
wellmaintained,1
wide,1
withheld,1
wont,1
workforce,1
working,1
worried,1
worry,1
wvents,1
year,1
youve,1
